--- Arvore geradora minima de 20---
20 ~> 674 | dist: 2.54
20 ~> 675 | dist: 2.40
20 ~> 676 | dist: 2.56
20 ~> 677 | dist: 1.32
20 ~> 678 | dist: 2.41
20 ~> 679 | dist: 1.90
20 ~> 680 | dist: 2.32
20 ~> 681 | dist: 1.76
20 ~> 682 | dist: 1.92
20 ~> 683 | dist: 1.62
20 ~> 684 | dist: 1.85
20 ~> 685 | dist: 2.04
20 ~> 686 | dist: 1.50
20 ~> 687 | dist: 2.17
20 ~> 688 | dist: 2.56
20 ~> 689 | dist: 2.62
20 ~> 690 | dist: 1.85
20 ~> 691 | dist: 0.85
20 ~> 692 | dist: 2.53
20 ~> 693 | dist: 2.04
20 ~> 694 | dist: 2.32
20 ~> 695 | dist: 2.50
20 ~> 696 | dist: 2.60
20 ~> 697 | dist: 2.41
20 ~> 698 | dist: 2.62
20 ~> 699 | dist: 2.35
20 ~> 700 | dist: 1.71
20 ~> 701 | dist: 2.04
20 ~> 702 | dist: 2.02
20 ~> 703 | dist: 2.49
20 ~> 704 | dist: 2.28
20 ~> 705 | dist: 2.87
20 ~> 706 | dist: 2.07
20 ~> 707 | dist: 1.68
20 ~> 708 | dist: 1.78
20 ~> 709 | dist: 2.33
20 ~> 710 | dist: 2.63
20 ~> 711 | dist: 2.12
20 ~> 712 | dist: 2.73
20 ~> 713 | dist: 2.10
20 ~> 714 | dist: 2.78
20 ~> 715 | dist: 2.36
20 ~> 716 | dist: 1.89
20 ~> 717 | dist: 2.05
20 ~> 718 | dist: 1.77
20 ~> 719 | dist: 1.74
20 ~> 720 | dist: 1.78
20 ~> 721 | dist: 2.26
20 ~> 722 | dist: 1.97
20 ~> 723 | dist: 2.83
20 ~> 724 | dist: 1.76
20 ~> 725 | dist: 1.94
20 ~> 726 | dist: 2.11
20 ~> 727 | dist: 2.02
20 ~> 728 | dist: 2.24
20 ~> 729 | dist: 2.32
20 ~> 730 | dist: 2.05
20 ~> 731 | dist: 2.36
20 ~> 732 | dist: 1.77
20 ~> 733 | dist: 2.26
20 ~> 734 | dist: 1.86
20 ~> 735 | dist: 2.23
20 ~> 736 | dist: 2.51
20 ~> 737 | dist: 1.82
20 ~> 738 | dist: 2.25
20 ~> 739 | dist: 2.34
