--- Arvore geradora minima de 10---
10 ~> 720 | dist: 2.16
10 ~> 721 | dist: 2.36
10 ~> 722 | dist: 1.55
10 ~> 723 | dist: 2.40
10 ~> 724 | dist: 1.36
10 ~> 725 | dist: 1.87
10 ~> 726 | dist: 1.81
10 ~> 727 | dist: 1.91
10 ~> 728 | dist: 1.97
10 ~> 729 | dist: 2.46
10 ~> 730 | dist: 1.93
10 ~> 731 | dist: 1.87
10 ~> 732 | dist: 2.42
10 ~> 733 | dist: 2.07
10 ~> 734 | dist: 2.35
10 ~> 735 | dist: 2.32
10 ~> 736 | dist: 2.70
10 ~> 737 | dist: 2.26
10 ~> 738 | dist: 1.99
10 ~> 739 | dist: 2.20
10 ~> 740 | dist: 2.10
10 ~> 741 | dist: 1.90
10 ~> 742 | dist: 2.71
10 ~> 743 | dist: 2.46
10 ~> 744 | dist: 1.92
10 ~> 745 | dist: 2.36
10 ~> 746 | dist: 2.11
10 ~> 747 | dist: 3.41
10 ~> 748 | dist: 2.13
10 ~> 749 | dist: 2.80
10 ~> 750 | dist: 2.33
10 ~> 751 | dist: 1.40
10 ~> 752 | dist: 2.52
10 ~> 753 | dist: 2.74
10 ~> 754 | dist: 2.49
10 ~> 755 | dist: 1.73
10 ~> 756 | dist: 2.69
10 ~> 757 | dist: 2.06
10 ~> 758 | dist: 2.12
10 ~> 759 | dist: 2.22
10 ~> 760 | dist: 2.02
10 ~> 761 | dist: 2.10
10 ~> 762 | dist: 2.43
10 ~> 763 | dist: 1.77
10 ~> 764 | dist: 2.45
10 ~> 765 | dist: 1.78
10 ~> 766 | dist: 2.16
10 ~> 767 | dist: 1.83
10 ~> 768 | dist: 2.32
10 ~> 769 | dist: 3.25
10 ~> 770 | dist: 1.67
10 ~> 771 | dist: 2.30
10 ~> 772 | dist: 1.23
10 ~> 773 | dist: 1.96
10 ~> 774 | dist: 2.03
10 ~> 775 | dist: 1.99
10 ~> 776 | dist: 1.69
10 ~> 777 | dist: 2.58
10 ~> 778 | dist: 1.88
10 ~> 779 | dist: 2.27
10 ~> 780 | dist: 2.33
10 ~> 781 | dist: 2.40
10 ~> 782 | dist: 2.29
10 ~> 783 | dist: 2.27
10 ~> 784 | dist: 2.84
10 ~> 785 | dist: 1.90
10 ~> 786 | dist: 2.21
10 ~> 787 | dist: 2.91
10 ~> 788 | dist: 2.01
10 ~> 789 | dist: 2.19
10 ~> 790 | dist: 1.98
10 ~> 791 | dist: 2.91
10 ~> 792 | dist: 1.98
10 ~> 793 | dist: 2.25
10 ~> 794 | dist: 1.54
10 ~> 795 | dist: 3.03
10 ~> 796 | dist: 2.30
10 ~> 797 | dist: 2.32
10 ~> 798 | dist: 2.84
10 ~> 799 | dist: 1.82
10 ~> 800 | dist: 1.72
10 ~> 801 | dist: 1.34
10 ~> 802 | dist: 2.46
10 ~> 803 | dist: 1.81
10 ~> 804 | dist: 2.59
10 ~> 805 | dist: 2.19
10 ~> 806 | dist: 2.05
10 ~> 807 | dist: 2.64
10 ~> 808 | dist: 2.56
10 ~> 809 | dist: 1.97
10 ~> 810 | dist: 1.59
10 ~> 811 | dist: 2.20
10 ~> 812 | dist: 2.18
10 ~> 813 | dist: 2.06
10 ~> 814 | dist: 2.17
10 ~> 815 | dist: 2.06
10 ~> 816 | dist: 1.54
10 ~> 817 | dist: 2.25
